hoy,value
1,2.4
2,2.4
3,2.4
4,2.3
5,2.5
6,2.3
7,2.4
8,2.4
9,2.3
10,0.8
11,0.2
12,0.3
13,0.2
14,0.3
15,0.3
16,0.7
17,2.5
18,2.3
19,2.3
20,2.4
21,2.3
22,2.4
23,2.5
24,2.4
25,2.3
26,2.4
27,2.4
28,2.3
29,2.4
30,2.4
31,2.3
32,2.4
33,2.4
34,0.7
35,0.3
36,0.4
37,0.4
38,0.4
39,0.4
40,1.8
41,2.3
42,2.4
43,2.3
44,2.4
45,2.3
46,2.4
47,2.4
48,2.3
49,2.4
50,2.3
51,2.4
52,2.4
53,2.4
54,2.4
55,2.4
56,2.4
57,2.3
58,0.2
59,0.3
60,0.3
61,0.3
62,0.2
63,0.3
64,1
65,2.4
66,2.4
67,2.3
68,2.3
69,2.3
70,2.3
71,2.3
72,2.3
73,2.4
74,2.3
75,2.3
76,2.3
77,2.4
78,2.3
79,2.3
80,2.4
81,2.3
82,0.7
83,0.3
84,0.3
85,0.2
86,0.3
87,0.4
88,1.7
89,2.7
90,2.4
91,2.3
92,2.4
93,2.3
94,2.3
95,2.4
96,2.3
97,2.3
98,1.8
99,1.7
100,1.8
101,1.7
102,1.8
103,1.7
104,1.8
105,1.7
106,1.8
107,1.7
108,1.8
109,1.7
110,1.8
111,1.7
112,1.8
113,1.7
114,1.8
115,1.7
116,1.8
117,1.7
118,1.8
119,1.7
120,1.8
121,1.8
122,1.7
123,1.8
124,1.7
125,1.8
126,1.7
127,1.8
128,1.7
129,1.8
130,1.7
131,1.8
132,1.7
133,1.8
134,1.7
135,1.8
136,1.7
137,1.8
138,1.7
139,1.8
140,1.7
141,1.8
142,1.7
143,1.8
144,1.7
145,1.8
146,2.2
147,2.4
148,2.3
149,2.3
150,2.3
151,2.4
152,2.3
153,2.3
154,0.7
155,0.2
156,0.2
157,0.3
158,0.3
159,0.4
160,1.6
161,2.3
162,2.3
163,2.4
164,2.3
165,2.3
166,2.3
167,2.3
168,2.4
169,2.3
170,2.4
171,2.3
172,2.3
173,2.4
174,2.3
175,2.4
176,2.3
177,2.4
178,0.2
179,0.2
180,0.2
181,0.2
182,0.2
183,0.3
184,0.7
185,2.3
186,2.3
187,2.3
188,2.3
189,2.3
190,2.3
191,2.4
192,2.3
193,2.3
194,2.4
195,2.3
196,2.3
197,2.3
198,2.3
199,2.4
200,2.3
201,2.3
202,0.3
203,0.2
204,0.3
205,0.4
206,0.3
207,0.3
208,1.4
209,2.7
210,2.3
211,2.2
212,2.3
213,2.4
214,2.3
215,2.3
216,2.3
217,1.8
218,1.8
219,1.8
220,1.9
221,1.8
222,1.8
223,1.8
224,1.8
225,1.8
226,1.8
227,1.8
228,1.9
229,1.8
230,1.8
231,1.8
232,1.8
233,1.8
234,1.8
235,1.9
236,1.8
237,1.8
238,1.8
239,1.8
240,1.8
241,1.8
242,1.9
243,1.8
244,1.8
245,1.8
246,1.8
247,1.8
248,1.8
249,1.8
250,1.9
251,1.8
252,1.8
253,1.8
254,0.2
255,0.3
256,0.8
257,3
258,2.4
259,2.3
260,2.3
261,2.3
262,2.3
263,2.3
264,2.3
265,2.3
266,2.4
267,2.3
268,2.3
269,2.4
270,2.3
271,2.3
272,2.3
273,2.3
274,0.3
275,0.8
276,0.9
277,0.6
278,0.6
279,0.5
280,1
281,3
282,2.6
283,2.4
284,2.3
285,2.4
286,2.3
287,2.3
288,2.3
289,2.4
290,2.3
291,2.4
292,2.3
293,2.3
294,2.3
295,2.3
296,2.4
297,2.3
298,0.8
299,0.5
300,0.5
301,0.7
302,0.6
303,0.8
304,1.6
305,3.1
306,2.8
307,3.1
308,2.8
309,2.6
310,2.6
311,2.6
312,2.6
313,2.6
314,2.6
315,2.6
316,2.5
317,2.6
318,2.6
319,2.5
320,2.6
321,2.4
322,0.5
323,0.5
324,0.5
325,0.6
326,0.5
327,0.6
328,1
329,2.5
330,2.6
331,2.6
332,2.5
333,2.6
334,2.6
335,2.5
336,2.6
337,2.6
338,2.6
339,2.6
340,2.6
341,2.6
342,2.6
343,2.6
344,2.6
345,2.5
346,0.4
347,0.6
348,0.9
349,0.6
350,0.8
351,0.9
352,1.3
353,2.6
354,2.6
355,2.5
356,2.6
357,2.5
358,2.6
359,2.6
360,2.6
361,2.6
362,2.6
363,2.6
364,2.6
365,2.6
366,2.6
367,2.6
368,2.5
369,2.4
370,0.5
371,0.4
372,0.4
373,0.3
374,0.4
375,0.4
376,1.2
377,2.5
378,2.5
379,2.4
380,2.4
381,2.4
382,2.5
383,2.4
384,2.5
385,2.4
386,2.5
387,2.4
388,2.4
389,2.5
390,2.4
391,2.4
392,2.4
393,2.4
394,0.6
395,0.4
396,0.4
397,0.3
398,0.4
399,0.4
400,1.2
401,3.1
402,2.4
403,2.4
404,2.4
405,2.3
406,2.4
407,2.4
408,2.4
409,2.4
410,2.4
411,2.4
412,2.4
413,2.4
414,2.3
415,2.4
416,2.4
417,2.3
418,1.8
419,0.4
420,0.4
421,0.6
422,0.8
423,0.9
424,0.7
425,2.5
426,2.4
427,2.3
428,2.4
429,2.3
430,2.4
431,2.4
432,2.4
433,2.4
434,2.4
435,2.4
436,2.4
437,2.4
438,2.4
439,2.4
440,2.6
441,3.7
442,0.8
443,0.6
444,0.6
445,0.5
446,0.7
447,0.5
448,0.7
449,2.9
450,2.8
451,2.5
452,2.6
453,2.5
454,2.5
455,2.6
456,2.5
457,2.5
458,2.6
459,2.6
460,2.5
461,2.5
462,2.6
463,2.5
464,2.6
465,2.5
466,0.7
467,0.6
468,0.5
469,0.4
470,0.5
471,0.5
472,1.3
473,2.9
474,2.3
475,2.4
476,2.4
477,2.4
478,2.3
479,2.4
480,2.3
481,2.3
482,2.4
483,2.4
484,2.3
485,2.3
486,2.4
487,2.4
488,2.3
489,2.2
490,0.3
491,0.4
492,0.3
493,0.4
494,0.3
495,0.4
496,0.4
497,2.4
498,2.3
499,2.3
500,2.4
501,2.3
502,2.4
503,2.3
504,2.4
505,2.3
506,2.3
507,2.4
508,2.3
509,2.4
510,2.3
511,2.4
512,2.3
513,2.1
514,0.3
515,0.3
516,0.3
517,0.4
518,0.3
519,0.5
520,0.7
521,2.6
522,2.5
523,2.5
524,2.5
525,2.5
526,2.5
527,2.5
528,2.5
529,2.6
530,2.5
531,2.6
532,2.5
533,2.6
534,2.5
535,2.5
536,2.6
537,2.4
538,0.6
539,0.5
540,0.6
541,0.7
542,0.8
543,0.6
544,0.7
545,2.8
546,2.6
547,2.5
548,2.5
549,2.5
550,2.7
551,2.5
552,2.6
553,2.5
554,2.5
555,2.5
556,2.6
557,2.5
558,2.5
559,2.5
560,2.5
561,2.5
562,0.5
563,0.8
564,0.9
565,0.6
566,0.5
567,0.5
568,0.7
569,2.7
570,2.6
571,2.5
572,2.5
573,2.5
574,2.5
575,2.5
576,2.5
577,2.6
578,2.5
579,2.6
580,2.5
581,2.5
582,2.5
583,2.6
584,2.5
585,2.4
586,0.5
587,0.8
588,0.9
589,0.5
590,0.5
591,0.6
592,1.5
593,2.8
594,2.8
595,2.7
596,2.6
597,2.7
598,2.7
599,2.7
600,2.7
601,2.7
602,2.7
603,2.8
604,2.7
605,2.7
606,2.7
607,2.7
608,2.7
609,1.9
610,0.6
611,0.7
612,0.8
613,0.8
614,0.7
615,0.7
616,0.8
617,2.4
618,2.8
619,2.7
620,2.7
621,2.7
622,2.8
623,2.7
624,2.7
625,2.7
626,2.8
627,2.7
628,2.8
629,2.7
630,2.8
631,2.7
632,2.8
633,1.9
634,0.7
635,0.7
636,0.7
637,0.8
638,0.7
639,0.7
640,0.9
641,2
642,2.7
643,2.7
644,2.8
645,2.7
646,2.7
647,2.7
648,2.8
649,2.7
650,2.8
651,2.7
652,2.8
653,2.7
654,2.8
655,2.7
656,2.7
657,2.6
658,0.8
659,0.7
660,0.7
661,0.7
662,0.8
663,0.7
664,1
665,2.4
666,2.7
667,2.8
668,2.8
669,2.8
670,2.7
671,2.8
672,2.7
673,2.8
674,2.7
675,2.8
676,2.7
677,2.8
678,2.7
679,2.8
680,2.7
681,1.8
682,0.8
683,0.7
684,0.7
685,0.7
686,0.8
687,0.7
688,0.8
689,2.8
690,2.7
691,2.7
692,2.7
693,2.8
694,2.7
695,2.8
696,2.7
697,2.8
698,2.8
699,2.7
700,2.8
701,2.8
702,2.8
703,2.7
704,2.8
705,1.7
706,0.7
707,0.8
708,0.7
709,0.8
710,0.7
711,0.8
712,0.8
713,1.8
714,2.7
715,2.8
716,2.9
717,2.8
718,2.8
719,2.7
720,2.9
721,2.8
722,2.8
723,2.9
724,2.9
725,2.9
726,2.9
727,2.9
728,3
729,1.4
730,0.5
731,0.5
732,0.5
733,0.5
734,0.5
735,0.5
736,1.1
737,2.7
738,2.9
739,2.8
740,2.9
741,2.7
742,2.7
743,2.9
744,2.7
745,2.7
746,2.7
747,2.8
748,2.7
749,2.7
750,2.8
751,2.7
752,2.8
753,1.5
754,0.7
755,0.7
756,0.7
757,0.8
758,0.7
759,0.7
760,0.9
761,2.8
762,2.7
763,2.7
764,2.7
765,2.8
766,2.7
767,2.8
768,2.7
769,2.7
770,2.8
771,2.7
772,2.8
773,2.7
774,2.7
775,2.7
776,2.8
777,1.3
778,0.7
779,0.7
780,0.8
781,0.6
782,0.8
783,0.8
784,0.7
785,2
786,2.8
787,3
788,2.9
789,2.7
790,2.8
791,2.7
792,2.7
793,2.8
794,2.7
795,2.8
796,2.7
797,2.8
798,2.7
799,2.8
800,2.7
801,2.6
802,0.7
803,0.5
804,0.5
805,0.5
806,0.6
807,0.5
808,0.7
809,1.5
810,2.5
811,2.5
812,2.6
813,2.5
814,2.6
815,2.5
816,2.5
817,2.6
818,2.5
819,2.6
820,2.6
821,2.5
822,2.6
823,2.5
824,2.6
825,0.8
826,0.5
827,0.5
828,0.5
829,0.6
830,0.5
831,0.5
832,0.6
833,1.1
834,2.6
835,2.5
836,2.6
837,2.5
838,2.6
839,2.5
840,2.6
841,2.6
842,2.6
843,2.5
844,2.6
845,2.5
846,2.6
847,2.5
848,2.6
849,1.5
850,0.5
851,0.5
852,0.5
853,0.5
854,0.5
855,0.5
856,0.6
857,2
858,2.5
859,2.6
860,2.5
861,2.5
862,2.6
863,2.5
864,2.6
865,2.5
866,2.6
867,2.5
868,2.6
869,2.6
870,2.5
871,2.6
872,2.6
873,0.7
874,0.5
875,0.6
876,0.6
877,0.6
878,0.7
879,0.7
880,0.8
881,2.2
882,2.8
883,2.5
884,2.7
885,2.8
886,2.6
887,2.5
888,2.5
889,2.6
890,2.5
891,2.5
892,2.6
893,2.5
894,2.5
895,2.5
896,2.5
897,1.4
898,0.7
899,0.6
900,0.6
901,0.7
902,0.5
903,0.6
904,0.7
905,1.5
906,2.6
907,2.8
908,2.5
909,2.4
910,2.5
911,2.5
912,2.5
913,2.5
914,2.5
915,2.4
916,2.5
917,2.5
918,2.5
919,2.5
920,2.5
921,2.5
922,0.5
923,0.5
924,0.5
925,0.5
926,0.6
927,0.5
928,0.8
929,1.8
930,2.7
931,2.9
932,2.5
933,2.6
934,2.5
935,2.6
936,2.5
937,2.5
938,2.6
939,2.5
940,2.6
941,2.5
942,2.6
943,2.5
944,2.6
945,2.6
946,0.6
947,0.6
948,0.5
949,0.5
950,0.5
951,0.5
952,0.5
953,1.5
954,2.6
955,2.5
956,2.6
957,2.6
958,2.6
959,2.5
960,2.5
961,2.5
962,2.5
963,2.5
964,2.4
965,2.5
966,2.5
967,2.5
968,2.5
969,0.5
970,0.5
971,0.5
972,0.5
973,0.6
974,0.5
975,0.5
976,0.8
977,2.5
978,2.5
979,2.5
980,2.6
981,2.5
982,2.5
983,2.5
984,2.5
985,2.4
986,2.5
987,2.5
988,2.5
989,2.5
990,2.5
991,2.5
992,2.3
993,0.5
994,0.5
995,0.6
996,0.5
997,0.5
998,0.5
999,0.7
1000,0.6
1001,1.1
1002,2.6
1003,2.6
1004,2.3
1005,2.2
1006,2.4
1007,2.8
1008,2.6
1009,2.4
1010,2.5
1011,2.5
1012,2.4
1013,2.5
1014,2.4
1015,2.5
1016,2.5
1017,0.6
1018,0.5
1019,0.5
1020,0.5
1021,0.5
1022,0.5
1023,0.5
1024,0.8
1025,0.7
1026,2.7
1027,2.7
1028,2.4
1029,2.6
1030,2.4
1031,2.5
1032,2.5
1033,2.4
1034,2.5
1035,2.5
1036,2.4
1037,2.5
1038,2.5
1039,2.4
1040,2.3
1041,0.5
1042,0.5
1043,0.4
1044,0.5
1045,0.5
1046,0.5
1047,0.5
1048,0.8
1049,0.5
1050,2.2
1051,2.4
1052,2.5
1053,2.5
1054,2.5
1055,2.5
1056,2.5
1057,2.4
1058,2.5
1059,2.4
1060,2.5
1061,2.5
1062,2.4
1063,2.5
1064,2.4
1065,1.4
1066,0.5
1067,0.5
1068,0.5
1069,0.5
1070,0.5
1071,0.5
1072,0.5
1073,2.4
1074,2.6
1075,2.5
1076,2.4
1077,2.4
1078,2.5
1079,2.4
1080,2.5
1081,2.5
1082,2.4
1083,2.5
1084,2.5
1085,2.4
1086,2.5
1087,2.5
1088,2.4
1089,2.4
1090,0.5
1091,0.5
1092,0.5
1093,0.6
1094,0.5
1095,0.4
1096,0.8
1097,1.2
1098,2.6
1099,2.5
1100,2.4
1101,2.5
1102,2.4
1103,2.5
1104,2.5
1105,2.5
1106,2.4
1107,2.5
1108,2.5
1109,2.5
1110,2.4
1111,2.5
1112,2.4
1113,1.8
1114,0.4
1115,0.5
1116,0.5
1117,0.5
1118,0.6
1119,0.6
1120,0.6
1121,0.6
1122,2.8
1123,2.5
1124,2.4
1125,2.5
1126,2.5
1127,2.4
1128,2.4
1129,2.5
1130,2.5
1131,2.4
1132,2.5
1133,2.4
1134,2.5
1135,2.5
1136,2.4
1137,2.3
1138,0.5
1139,0.6
1140,0.5
1141,0.4
1142,0.5
1143,0.5
1144,0.5
1145,2
1146,2.5
1147,2.4
1148,2.5
1149,2.4
1150,2.4
1151,2.5
1152,2.5
1153,2.4
1154,2.5
1155,2.4
1156,2.5
1157,2.5
1158,2.4
1159,2.5
1160,1.9
1161,0.4
1162,0.5
1163,0.5
1164,0.4
1165,0.5
1166,0.5
1167,0.5
1168,0.6
1169,0.5
1170,2
1171,2.4
1172,2.5
1173,2.4
1174,2.5
1175,2.4
1176,2.5
1177,2.4
1178,2.5
1179,2.4
1180,2.5
1181,2.5
1182,2.4
1183,2.5
1184,1.7
1185,0.4
1186,0.5
1187,0.4
1188,0.5
1189,0.6
1190,0.5
1191,0.5
1192,0.5
1193,0.5
1194,2.3
1195,2.5
1196,2.4
1197,2.4
1198,2.5
1199,2.5
1200,2.5
1201,2.4
1202,2.5
1203,2.4
1204,2.5
1205,2.4
1206,2.5
1207,2.4
1208,2.5
1209,2.4
1210,0.5
1211,0.5
1212,0.5
1213,0.6
1214,0.7
1215,0.7
1216,0.8
1217,0.7
1218,2.3
1219,2.5
1220,2.7
1221,2.7
1222,2.7
1223,2.7
1224,2.7
1225,2.4
1226,2.5
1227,2.4
1228,2.5
1229,2.5
1230,2.4
1231,2.5
1232,1.6
1233,0.4
1234,0.5
1235,0.5
1236,0.7
1237,0.5
1238,1.8
1239,2.1
1240,1.1
1241,0.8
1242,2
1243,2.8
1244,2.7
1245,2.7
1246,2.7
1247,2.5
1248,2.6
1249,2.5
1250,2.5
1251,2.5
1252,2.6
1253,2.5
1254,2.5
1255,2.4
1256,1.8
1257,0.5
1258,0.5
1259,0.5
1260,0.6
1261,0.5
1262,0.5
1263,0.5
1264,0.9
1265,0.9
1266,2.5
1267,2.5
1268,2.5
1269,2.6
1270,2.7
1271,2.5
1272,2.5
1273,2.5
1274,2.5
1275,2.5
1276,2.5
1277,2.5
1278,2.5
1279,2.5
1280,2.5
1281,0.7
1282,0.4
1283,0.5
1284,0.5
1285,0.5
1286,0.5
1287,0.5
1288,0.5
1289,0.5
1290,2.9
1291,2.6
1292,2.5
1293,2.5
1294,2.5
1295,2.5
1296,2.5
1297,2.5
1298,2.5
1299,2.5
1300,2.5
1301,2.5
1302,2.5
1303,2.4
1304,2.5
1305,1.4
1306,0.5
1307,0.5
1308,0.5
1309,0.5
1310,0.4
1311,0.7
1312,0.9
1313,0.6
1314,2.3
1315,2.4
1316,2.4
1317,2.3
1318,2.4
1319,2.5
1320,2.5
1321,2.5
1322,2.4
1323,2.5
1324,2.6
1325,2.5
1326,2.5
1327,2.5
1328,1.3
1329,0.5
1330,0.5
1331,0.4
1332,0.5
1333,0.5
1334,0.5
1335,0.6
1336,0.5
1337,0.6
1338,1.5
1339,2.5
1340,2.5
1341,2.5
1342,2.5
1343,2.5
1344,2.5
1345,2.5
1346,2.5
1347,2.4
1348,2.6
1349,2.5
1350,2.5
1351,2.5
1352,1.1
